FighterName,ImageLink
Charles Johnson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/7/JOHNSON_CHARLES_L_10-19.png?itok=Zb0fg1j0
Jake Hadley,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/9/HADLEY_JAKE_L_10-19.png?itok=B1ZoZ2Yc
Cameron Smotherman,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/SMOTHERMAN_CAMERON_L_10-19.png?itok=if9S4t45
Darren Elkins,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/14/ELKINS_DARREN_L_10-19.png?itok=dqCiSScD
Daniel Pineda,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/16/PINEDA_DANIEL_L_07-27.png?itok=b2nMKWoI
Matheus Nicolau,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/16/NICOLAU_MATHEUS_L_10-19.png?itok=EuxC7X3A
Brad Katona,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/KATONA_BRAD_L_10-19.png?itok=o8pAriYd
Jean Matsumoto,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/7/MATSUMOTO_JEAN_L_04-06.png?itok=TZbw7hz0
Joselyne Edwards,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/14/EDWARDS_JOSELYNE_L_10-19.png?itok=sr199eqH
Tamires Vidal,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/7/VIDAL_TAMIRES_L_05-18.png?itok=LiW5Duqx
Jessica Penne,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/14/PENNE_JESSICA_L_10-19.png?itok=d-r7UIfn
Elise Reed,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/REED_ELISE_L_10-19.png?itok=N7spvAyv
Melissa Martinez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/MARTINEZ_MELISSA_L_09-10.png?itok=rqZ-h6hg
